listing_id,listing_image_id
269327599, 2852290510
269327599, 2137695916
269327669, 2852290666
269327669, 2137726956
269432932, 2899951457
269432932, 2137605328
502488913, 2852291028
502488913, 2137730880
150235673, 2899951817
150235673, 2185273323
489009284, 2852291344
489009284, 2185282889
503723399, 2899952135
503723399, 2137683688
209133696, 2852291746
209133696, 2185212445
210864823, 2899952513
210864823, 2137625464
215798608, 2852292114
215798608, 2185212369
488995446, 2899952867
488995446, 2137708614
502504737, 2899953071
502504737, 2137664242
570303168, 2812455855
488997162, 2852292700
488997162, 2185273559
570299924, 2899953477
570299924, 2137740148
570300246, 2852293066
570300246, 2137602338
502504581, 2899953831
502504581, 2185274309
209142065, 2899954013
209142065, 2137697358
215802917, 2899954163
215802917, 2137708862
260275133, 2899954373
260275133, 2137691368
488998012, 2852294198
488998012, 2185282589
102875116, 2852294390
102875116, 2764583238
118827307, 2899955227
118827307, 2185233691
174263436, 2852294764
174263436, 2185154851
102875694, 2852294934
102875694, 2764584406
503722083, 2852295240
503722083, 2137662172
490230846, 2899956089
490230846, 2185278767
490232076, 2899956271
490232076, 2764549608
488997232, 2852295832
488997232, 2137666642
215802961, 2852296002
215802961, 2764545780
488864046, 2899956765
488864046, 2137728672
